"id_market","id_seller","nama_market","latitude","longitude",
"p675","g867","Veum Ltd","0.000000","32.272123",
"s916","i023","O'Conner LLC","0.000000","83.423092",
"u511","j659","Schneider, Frami and Ankunding","18.855459","0.000000",
"s408","k434","Stehr, Harber and Fay","0.000000","110.859651",
"j668","l499","Greenholt and Sons","0.000000","0.000000",
"s926","m902","Beahan Ltd","4.760341","169.796087",
"c044","r545","Treutel, Pollich and Kuvalis","7.062389","140.817430",
"g864","s715","Herzog, Heidenreich and Brown","0.000000","0.000000",
"n829","v153","Russel, Boehm and Miller","80.663851","0.000000",
"u164","y564","Breitenberg Ltd","39.840014","0.000000",
"j801","g867","Schoen Ltd","70.088510","0.000000",
"c221","i023","Skiles, VonRueden and Jacobi","0.000000","101.362394",
"y554","j659","Schultz-O'Kon","0.000000","0.000000",
"v545","k434","Okuneva-Lebsack","4.115522","149.647133",
"v005","l499","Greenholt-Bergnaum","0.000000","71.046003",
"z840","m902","Ferry, Stokes and Renner","59.654115","0.000000",
"h995","r545","Crist, Pfeffer and Oberbrunner","84.271544","0.000000",
"x399","s715","Koelpin, Gulgowski and Kreiger","89.838174","175.111296",
"z874","v153","Hagenes-Deckow","0.000000","152.252208",
"s685","y564","Dare-Reichert","22.417739","18.446726",
"p859","g867","Kunze-Goodwin","0.000000","0.000000",
"b851","i023","Hagenes, Watsica and Conn","10.555021","123.102670",
"w285","j659","Hills-Boehm","0.000000","0.000000",
"h333","k434","Gaylord-Sporer","81.687164","0.000000",
"b595","l499","Roob-Olson","0.000000","134.147603",
